ProlificID,SyntheticPersonID,AttnCheck,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Condition
P000001,1545,,Moderately harmful,Slightly harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Financial
P000001,8617,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Financial
P000001,14105,,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Financial
P000001,12001,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Financial
P000001,2586,,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Extremely harmful,Financial
P000001,512,,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Financial
P000001,15204,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Financial
P000001,16181,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Financial
P000001,17134,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
P000001,12805,lose power,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
P000001,13964,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
P000001,19132,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
P000001,19856,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
P000001,10413,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
P000001,446,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
P000001,15938,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
P000001,14845,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
