ProlificID,SyntheticPersonID,AttnCheck,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Condition,Certainty
P000001,14226,,Moderately harmful,Not at all harmful,Very harmful,Not at all harmful,Slightly harmful,Slightly harmful,Moderately harmful,Extremely harmful,Health,75
P000001,1373,,Moderately harmful,Not at all harmful,Moderately harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000001,10468,,Moderately harmful,Not at all harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000001,13101,,Very harmful,Not at all harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000001,3933,,Moderately harmful,Not at all harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000001,8472,,Moderately harmful,Not at all harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000001,14558,,Moderately harmful,Not at all harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000001,9996,,Moderately harmful,Not at all harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000001,11085,,Slightly harmful,Not at all harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000001,7351,"I hope that our elected leaders are able to bring down the prices of gas and groceries, as well as bring an end to the Russia-Ukraine war.",Moderately harmful,Not at all harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000001,12278,,Moderately harmful,Not at all harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000001,11141,,Moderately harmful,Not at all harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000001,1397,,Moderately harmful,Not at all harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000001,11539,,Moderately harmful,Not at all harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000001,13963,,Moderately harmful,Not at all harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000001,2107,,Moderately harmful,Not at all harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000001,6271,,Moderately harmful,Not at all harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000001,10474,,Moderately harmful,Not at all harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000001,10568,,Moderately harmful,Not at all harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000001,3299,Green,Moderately harmful,Not at all harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000001,14447,,Moderately harmful,Not at all harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000001,5229,,Very harmful,Not at all harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000001,7582,,Moderately harmful,Not at all harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000001,10285,,Moderately harmful,Not at all harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000001,9187,,Moderately harmful,Not at all harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000001,1470,,Moderately harmful,Not at all harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000001,11133,,Moderately harmful,Not at all harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000001,1165,,Moderately harmful,Not at all harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health,75
P000002,14226,,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Health,75
P000002,1373,,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Health,75
P000002,10468,,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Health,75
P000002,13101,,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Health,75
P000002,3933,,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Health,75
P000002,8472,,Not at all harmful,Not at all harmful,Not at all harmful,Slightly harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Health,75
P000002,14558,,Slightly harmful,Slightly harmful,Moderately harmful,Moderately harmful,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Health,75
P000002,9996,,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Health,75
P000002,11085,,Slightly harmful,Slightly harmful,Slightly harmful,Moderately harmful,Not at all harmful,Slightly harmful,Very harmful,Slightly harmful,Health,75
P000002,7351,deport illegal immigrant,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Health,75
P000002,12278,,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Moderately harmful,Health,75
P000002,11141,,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Health,75
P000002,1397,,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Not at all harmful,Not at all harmful,Slightly harmful,Slightly harmful,Health,75
P000002,11539,,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Not at all harmful,Not at all harmful,Moderately harmful,Slightly harmful,Health,75
P000002,13963,,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Moderately harmful,Slightly harmful,Health,75
P000002,2107,,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Not at all harmful,Not at all harmful,Slightly harmful,Slightly harmful,Health,75
P000002,6271,,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Health,75
P000002,10474,,Slightly harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Slightly harmful,Health,75
P000002,10568,,Slightly harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Slightly harmful,Slightly harmful,Health,75
P000002,3299,Green,Slightly harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Slightly harmful,Slightly harmful,Health,75
